timestamp,height_px,height_cm,height_cm_smooth,method
20251112_110455,2,56,2.19,4.91,hsv,,405,785,434,841
20251112_110455,3,32,1.25,4.91,hsv,,438,784,454,816
20251112_110455,4,179,6.99,4.91,hsv,,463,749,598,928
20251112_110459,0,976,35.61,36.70,yolo,0.868,212,6,1056,982
20251112_110506,0,189,6.94,12.59,hsv,,0,889,101,1078
20251112_110510,0,96,3.53,5.23,hsv,,214,928,294,1024
20251112_110510,1,144,5.29,5.23,hsv,,278,800,375,944
20251112_110514,0,847,31.12,4.42,hsv,,955,0,1127,847
20251112_110518,0,702,32.94,40.95,hsv,,464,235,676,937
20251112_110518,1,778,36.50,40.95,hsv,,311,161,471,939
20251112_110518,2,854,40.07,40.95,hsv,,708,155,916,1009
20251112_110523,0,730,30.93,37.31,hsv,,632,158,864,888
20251112_110523,1,794,33.65,37.31,hsv,,475,93,640,887
20251112_110523,2,896,37.97,37.31,hsv,,886,70,1125,966
20251112_110528,0,774,31.23,37.69,hsv,,637,165,896,939
20251112_110528,1,846,34.13,37.69,hsv,,473,103,654,949
20251112_110528,2,952,38.41,37.69,hsv,,903,68,1174,1020
20251112_112119,0,755,32.20,37.21,hsv,,476,221,684,976
20251112_112119,1,818,34.88,37.21,hsv,,195,128,431,946
20251112_112119,2,891,38.00,37.21,hsv,,753,94,1040,985
20251112_112123,0,754,31.62,36.99,hsv,,480,196,689,950
20251112_112123,1,820,34.39,36.99,hsv,,198,111,436,931
20251112_112123,2,897,37.62,36.99,hsv,,764,69,1041,966
20251112_112128,0,751,31.75,36.87,hsv,,489,169,699,920
20251112_112128,1,774,32.72,36.87,hsv,,210,85,445,859
20251112_112128,2,867,36.65,36.87,hsv,,777,42,1047,909
20251112_112132,0,754,31.49,36.16,hsv,,518,169,727,923
20251112_112132,1,784,32.74,36.16,hsv,,236,85,476,869
20251112_112132,2,879,36.71,36.16,hsv,,815,34,1086,913
20251112_112137,0,793,32.04,35.79,hsv,,569,116,791,909
20251112_112137,1,812,32.81,35.79,hsv,,273,23,519,835
20251112_112137,2,903,36.49,35.79,hsv,,861,0,1144,903
20251112_112142,0,757,31.13,36.36,hsv,,489,148,701,905
20251112_112142,1,780,32.08,36.36,hsv,,206,62,445,842
20251112_112142,2,881,36.23,36.36,hsv,,783,17,1058,898
20251112_112146,0,738,31.34,36.88,hsv,,429,195,633,933
20251112_112146,1,804,34.14,36.88,hsv,,152,113,388,917
20251112_112146,2,857,36.39,36.88,hsv,,713,65,977,922
20251112_112150,0,49,2.15,16.01,hsv,,624,927,654,976
20251112_112154,0,824,34.72,31.61,hsv,,604,177,913,1001
20251112_112154,1,728,30.68,31.61,hsv,,902,169,1144,897
20251112_112158,0,141,6.66,9.35,hsv,,976,895,1080,1036
20251112_113140,0,232,,,hsv,,1915,848,1920,1080
20251112_113145,0,31,,,hsv,,1008,1025,1024,1056
20251112_113145,1,31,,,hsv,,1574,930,1599,961
20251117_140002,0,42,,,hsv,,1166,1038,1185,1080
20251117_140002,1,61,,,hsv,,1458,961,1490,1022
